TRACCS_category;TRACCS_vehicle_type;TRACCS_technology;univocalName;technology
Buses;Coaches;B30;Bus;Liquids
Buses;Urban;B30;Bus;Liquids
Buses;Coaches;Diesel;Bus;Liquids
Buses;Urban;Diesel;Bus;Liquids
Buses;Coaches;Gasoline;Bus;Liquids
Buses;Urban;Gasoline;Bus;Liquids
Buses;Coaches;CNG/Biogas;Bus;Gases
Buses;Urban;CNG/Biogas;Bus;Gases
Buses;Coaches;LPG;Bus;Gases
Buses;Urban;LPG;Bus;Gases
Passenger cars;Lower-Medium;Other;;
Passenger cars;Lower-Medium;Diesel;Compact Car;Liquids
Passenger cars;Lower-Medium;Flexi-fuel;Compact Car;Liquids
Passenger cars;Lower-Medium;Gasoline;Compact Car;Liquids
Passenger cars;Lower-Medium;CNG;Compact Car;Gases
Passenger cars;Lower-Medium;LPG;Compact Car;Gases
Passenger cars;Executive;Other;;
Passenger cars;Executive;Diesel;Large Car and SUV;Liquids
Passenger cars;Executive;Flexi-fuel;Large Car and SUV;Liquids
Passenger cars;Executive;Gasoline;Large Car and SUV;Liquids
Passenger cars;Executive;CNG;Large Car and SUV;Gases
Passenger cars;Executive;LPG;Large Car and SUV;Gases
Passenger cars;Upper-Medium;Other;;
Passenger cars;Upper-Medium;Diesel;Midsize Car;Liquids
Passenger cars;Upper-Medium;Flexi-fuel;Midsize Car;Liquids
Passenger cars;Upper-Medium;Gasoline;Midsize Car;Liquids
Passenger cars;Upper-Medium;CNG;Midsize Car;Gases
Passenger cars;Upper-Medium;LPG;Midsize Car;Gases
Mopeds;2-stroke;Gasoline;Moped;Liquids
Mopeds;4-stroke;Gasoline;Moped;Liquids
Motorcycles;2-stroke;Gasoline;Motorcycle (50-250cc);Liquids
Motorcycles;4-stroke;Gasoline;Motorcycle (>250cc);Liquids
Passenger cars;Small;Other;;
Passenger cars;Small;Diesel;Subcompact Car;Liquids
Passenger cars;Small;Flexi-fuel;Subcompact Car;Liquids
Passenger cars;Small;Gasoline;Subcompact Car;Liquids
Passenger cars;Small;CNG;Subcompact Car;Gases
Passenger cars;Small;LPG;Subcompact Car;Gases
Light Commercial Veh_;N1;Diesel;Truck (0-3.5t);Liquids
Light Commercial Veh_;N1;Flexi-fuel;Truck (0-3.5t);Liquids
Light Commercial Veh_;N1;Gasoline;Truck (0-3.5t);Liquids
Light Commercial Veh_;N1;CNG;Truck (0-3.5t);Gases
Light Commercial Veh_;N1;LPG;Truck (0-3.5t);Gases
Heavy Duty Trucks;Articulated 14 - 20 t;Diesel;Truck (18t);Liquids
Heavy Duty Trucks;Rigid 12 - 14 t;Diesel;Truck (18t);Liquids
Heavy Duty Trucks;Rigid 14 - 20 t;Diesel;Truck (18t);Liquids
Heavy Duty Trucks;Articulated 20 - 28 t;Diesel;Truck (26t);Liquids
Heavy Duty Trucks;Articulated 28 - 34 t;Diesel;Truck (26t);Liquids
Heavy Duty Trucks;Rigid 20 - 26 t;Diesel;Truck (26t);Liquids
Heavy Duty Trucks;Rigid 26 - 28 t;Diesel;Truck (26t);Liquids
Heavy Duty Trucks;Rigid 28 - 32 t;Diesel;Truck (26t);Liquids
Heavy Duty Trucks;Rigid >32 t;Diesel;Truck (26t);Liquids
Heavy Duty Trucks;Articulated 34 - 40 t;Diesel;Truck (40t);Liquids
Heavy Duty Trucks;Articulated 40 - 50 t;Diesel;Truck (40t);Liquids
Heavy Duty Trucks;Articulated 50 - 60 t;Diesel;Truck (40t);Liquids
Heavy Duty Trucks;Rigid 7,5 - 12 t;Diesel;Truck (7.5t);Liquids
Heavy Duty Trucks;Rigid <=7,5 t;Diesel;Truck (7.5t);Liquids
Heavy Duty Trucks;>3,5 t;Gasoline;Truck (7.5t);Liquids
Rail;Passenger;Diesel;Passenger Rail;Liquids
Rail;Passenger;Electric;Passenger Rail;Electric
Rail;Goods;Diesel;Freight Rail;Liquids
Rail;Goods;Electric;Freight Rail;Electric
